Demographic Trends of People Receiving COVID-19 Vaccinations in the United States,,,,,,,,https://covid.cdc.gov/covid-data-tracker/#vaccination-demographics-trends,,,,,,,
Date generated: Tue Apr 27 2021 08:33:10 GMT-0400 (Eastern Daylight Time),,,,,,,,,,,,,,,
Disclaimer:,,,,,,,,,,,,,,,
Due to a data synchronization error between April 3-5 2021 the daily count of doses reporting “Unknown Age” in the COVID-19 Case Surveillance Public Use Data incorrectly appeared higher than expected. The issue was resolved on April 6 2021 and the count of doses reporting ‘Unknown Age’ accurately reflects the totals reported to CDC.,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
Date,Age Group,People with at least one dose,People who are fully vaccinated,Percent of age group with at least one dose,Percent of age group fully vaccinated,Census,,,,,,,,,
4/1/2021,Ages_18-29_yrs,8079242,3795437,16.4,7.7,49352163,,,,,,,,,
3/31/2021,Ages_18-29_yrs,7819799,3703981,15.8,7.5,49352163,,,,,,,,,
3/30/2021,Ages_18-29_yrs,7615317,3623343,15.4,7.3,49352163,,,,,,,,,
3/29/2021,Ages_18-29_yrs,7480827,3566790,15.2,7.2,49352163,,,,,,,,,
3/28/2021,Ages_18-29_yrs,7293360,3490713,14.8,7.1,49352163,,,,,,,,,
3/27/2021,Ages_18-29_yrs,7053806,3392691,14.3,6.9,49352163,,,,,,,,,
3/26/2021,Ages_18-29_yrs,6792085,3305326,13.8,6.7,49352163,,,,,,,,,
3/25/2021,Ages_18-29_yrs,6539605,3227413,13.3,6.5,49352163,,,,,,,,,
3/24/2021,Ages_18-29_yrs,6342853,3168148,12.9,6.4,49352163,,,,,,,,,
3/23/2021,Ages_18-29_yrs,6163622,3113584,12.5,6.3,49352163,,,,,,,,,
3/22/2021,Ages_18-29_yrs,6040584,3071948,12.2,6.2,49352163,,,,,,,,,
3/21/2021,Ages_18-29_yrs,5882031,3021295,11.9,6.1,49352163,,,,,,,,,
3/20/2021,Ages_18-29_yrs,5655941,2951522,11.5,6,49352163,,,,,,,,,
3/19/2021,Ages_18-29_yrs,5447248,2891564,11,5.9,49352163,,,,,,,,,
3/18/2021,Ages_18-29_yrs,5282909,2843571,10.7,5.8,49352163,,,,,,,,,
3/17/2021,Ages_18-29_yrs,5112985,2790126,10.4,5.7,49352163,,,,,,,,,
3/16/2021,Ages_18-29_yrs,4978656,2736930,10.1,5.5,49352163,,,,,,,,,
3/15/2021,Ages_18-29_yrs,4869917,2693298,9.9,5.5,49352163,,,,,,,,,
3/14/2021,Ages_18-29_yrs,4744146,2633571,9.6,5.3,49352163,,,,,,,,,
3/13/2021,Ages_18-29_yrs,4592304,2572419,9.3,5.2,49352163,,,,,,,,,
3/12/2021,Ages_18-29_yrs,4416061,2492106,8.9,5,49352163,,,,,,,,,
3/11/2021,Ages_18-29_yrs,4279735,2439059,8.7,4.9,49352163,,,,,,,,,
3/10/2021,Ages_18-29_yrs,4166055,2392668,8.4,4.8,49352163,,,,,,,,,
3/9/2021,Ages_18-29_yrs,4073042,2354786,8.3,4.8,49352163,,,,,,,,,
3/8/2021,Ages_18-29_yrs,3990557,2311877,8.1,4.7,49352163,,,,,,,,,
3/7/2021,Ages_18-29_yrs,3905122,2274929,7.9,4.6,49352163,,,,,,,,,
3/6/2021,Ages_18-29_yrs,3799283,2223169,7.7,4.5,49352163,,,,,,,,,
3/5/2021,Ages_18-29_yrs,3688178,2172495,7.5,4.4,49352163,,,,,,,,,
3/4/2021,Ages_18-29_yrs,3603865,2133301,7.3,4.3,49352163,,,,,,,,,
3/3/2021,Ages_18-29_yrs,3543952,2097837,7.2,4.3,49352163,,,,,,,,,
3/2/2021,Ages_18-29_yrs,3482527,2065543,7.1,4.2,49352163,,,,,,,,,
3/1/2021,Ages_18-29_yrs,3426470,2035746,6.9,4.1,49352163,,,,,,,,,
2/28/2021,Ages_18-29_yrs,3366876,1998147,6.8,4,49352163,,,,,,,,,
2/27/2021,Ages_18-29_yrs,3290400,1941730,6.7,3.9,49352163,,,,,,,,,
2/26/2021,Ages_18-29_yrs,3227934,1890584,6.5,3.8,49352163,,,,,,,,,
2/25/2021,Ages_18-29_yrs,3173602,1838581,6.4,3.7,49352163,,,,,,,,,
2/24/2021,Ages_18-29_yrs,3126587,1793849,6.3,3.6,49352163,,,,,,,,,
2/23/2021,Ages_18-29_yrs,3089545,1758519,6.3,3.6,49352163,,,,,,,,,
2/22/2021,Ages_18-29_yrs,3066314,1736372,6.2,3.5,49352163,,,,,,,,,
2/21/2021,Ages_18-29_yrs,3034379,1702588,6.1,3.4,49352163,,,,,,,,,
2/20/2021,Ages_18-29_yrs,2989862,1645844,6.1,3.3,49352163,,,,,,,,,
2/19/2021,Ages_18-29_yrs,2946873,1594277,6,3.2,49352163,,,,,,,,,
2/18/2021,Ages_18-29_yrs,2899999,1540301,5.9,3.1,49352163,,,,,,,,,
2/17/2021,Ages_18-29_yrs,2859563,1493448,5.8,3,49352163,,,,,,,,,
2/16/2021,Ages_18-29_yrs,2831899,1464988,5.7,3,49352163,,,,,,,,,
2/15/2021,Ages_18-29_yrs,2804388,1439655,5.7,2.9,49352163,,,,,,,,,
2/14/2021,Ages_18-29_yrs,2763104,1400467,5.6,2.8,49352163,,,,,,,,,
2/13/2021,Ages_18-29_yrs,2700897,1326403,5.5,2.7,49352163,,,,,,,,,
2/12/2021,Ages_18-29_yrs,2642574,1249918,5.4,2.5,49352163,,,,,,,,,
2/11/2021,Ages_18-29_yrs,2594673,1185957,5.3,2.4,49352163,,,,,,,,,
2/10/2021,Ages_18-29_yrs,2556144,1131307,5.2,2.3,49352163,,,,,,,,,
2/9/2021,Ages_18-29_yrs,2512707,1080056,5.1,2.2,49352163,,,,,,,,,
2/8/2021,Ages_18-29_yrs,2481645,1053339,5,2.1,49352163,,,,,,,,,
2/7/2021,Ages_18-29_yrs,2441355,1013439,4.9,2.1,49352163,,,,,,,,,
2/6/2021,Ages_18-29_yrs,2385534,941281,4.8,1.9,49352163,,,,,,,,,
2/5/2021,Ages_18-29_yrs,2321911,866443,4.7,1.8,49352163,,,,,,,,,
2/4/2021,Ages_18-29_yrs,2277870,810775,4.6,1.6,49352163,,,,,,,,,
2/3/2021,Ages_18-29_yrs,2232845,755671,4.5,1.5,49352163,,,,,,,,,
2/2/2021,Ages_18-29_yrs,2203946,724521,4.5,1.5,49352163,,,,,,,,,
2/1/2021,Ages_18-29_yrs,2181461,709544,4.4,1.4,49352163,,,,,,,,,
1/31/2021,Ages_18-29_yrs,2138364,679232,4.3,1.4,49352163,,,,,,,,,
1/30/2021,Ages_18-29_yrs,2072697,633495,4.2,1.3,49352163,,,,,,,,,
1/29/2021,Ages_18-29_yrs,2008315,582470,4.1,1.2,49352163,,,,,,,,,
1/28/2021,Ages_18-29_yrs,1944824,524835,3.9,1.1,49352163,,,,,,,,,
1/27/2021,Ages_18-29_yrs,1891762,474855,3.8,1,49352163,,,,,,,,,
1/26/2021,Ages_18-29_yrs,1845213,436757,3.7,0.9,49352163,,,,,,,,,
1/25/2021,Ages_18-29_yrs,1810093,422920,3.7,0.9,49352163,,,,,,,,,
1/24/2021,Ages_18-29_yrs,1759732,404072,3.6,0.8,49352163,,,,,,,,,
1/23/2021,Ages_18-29_yrs,1679557,379564,3.4,0.8,49352163,,,,,,,,,
1/22/2021,Ages_18-29_yrs,1608405,349316,3.3,0.7,49352163,,,,,,,,,
1/21/2021,Ages_18-29_yrs,1529919,308857,3.1,0.6,49352163,,,,,,,,,
1/20/2021,Ages_18-29_yrs,1472327,280318,3,0.6,49352163,,,,,,,,,
1/19/2021,Ages_18-29_yrs,1430804,262499,2.9,0.5,49352163,,,,,,,,,
1/18/2021,Ages_18-29_yrs,1400840,255198,2.8,0.5,49352163,,,,,,,,,
1/17/2021,Ages_18-29_yrs,1347578,246547,2.7,0.5,49352163,,,,,,,,,
1/16/2021,Ages_18-29_yrs,1267118,231115,2.6,0.5,49352163,,,,,,,,,
1/15/2021,Ages_18-29_yrs,1177424,208683,2.4,0.4,49352163,,,,,,,,,
1/14/2021,Ages_18-29_yrs,1097076,176154,2.2,0.4,49352163,,,,,,,,,
1/13/2021,Ages_18-29_yrs,1025361,140377,2.1,0.3,49352163,,,,,,,,,
1/12/2021,Ages_18-29_yrs,965688,107579,2,0.2,49352163,,,,,,,,,
1/11/2021,Ages_18-29_yrs,934030,95552,1.9,0.2,49352163,,,,,,,,,
1/10/2021,Ages_18-29_yrs,889942,78393,1.8,0.2,49352163,,,,,,,,,
1/9/2021,Ages_18-29_yrs,818903,46344,1.7,0.1,49352163,,,,,,,,,
1/8/2021,Ages_18-29_yrs,747755,23319,1.5,0,49352163,,,,,,,,,
1/7/2021,Ages_18-29_yrs,673380,10298,1.4,0,49352163,,,,,,,,,
1/6/2021,Ages_18-29_yrs,610286,3819,1.2,0,49352163,,,,,,,,,
1/5/2021,Ages_18-29_yrs,559055,1477,1.1,0,49352163,,,,,,,,,
1/4/2021,Ages_18-29_yrs,540562,1337,1.1,0,49352163,,,,,,,,,
1/3/2021,Ages_18-29_yrs,520796,1261,1.1,0,49352163,,,,,,,,,
1/2/2021,Ages_18-29_yrs,503743,1214,1,0,49352163,,,,,,,,,
1/1/2021,Ages_18-29_yrs,457862,1122,0.9,0,49352163,,,,,,,,,
12/31/2020,Ages_18-29_yrs,389935,949,0.8,0,49352163,,,,,,,,,
12/30/2020,Ages_18-29_yrs,335233,777,0.7,0,49352163,,,,,,,,,
12/29/2020,Ages_18-29_yrs,287772,604,0.6,0,49352163,,,,,,,,,
12/28/2020,Ages_18-29_yrs,272902,541,0.6,0,49352163,,,,,,,,,
12/27/2020,Ages_18-29_yrs,260650,530,0.5,0,49352163,,,,,,,,,
12/26/2020,Ages_18-29_yrs,251319,513,0.5,0,49352163,,,,,,,,,
12/25/2020,Ages_18-29_yrs,226994,429,0.5,0,49352163,,,,,,,,,
12/24/2020,Ages_18-29_yrs,173738,332,0.4,0,49352163,,,,,,,,,
12/23/2020,Ages_18-29_yrs,127336,212,0.3,0,49352163,,,,,,,,,
12/22/2020,Ages_18-29_yrs,94276,163,0.2,0,49352163,,,,,,,,,
12/21/2020,Ages_18-29_yrs,78349,120,0.2,0,49352163,,,,,,,,,
12/20/2020,Ages_18-29_yrs,58625,86,0.1,0,49352163,,,,,,,,,
12/19/2020,Ages_18-29_yrs,28490,46,0.1,0,49352163,,,,,,,,,
12/18/2020,Ages_18-29_yrs,10597,5,0,0,49352163,,,,,,,,,
12/17/2020,Ages_18-29_yrs,2216,0,0,0,49352163,,,,,,,,,
12/16/2020,Ages_18-29_yrs,172,0,0,0,49352163,,,,,,,,,
4/26/2021,Ages_<18yrs,1644949,384870,2.5,0.6,66470007,,,,,,,,,
4/25/2021,Ages_<18yrs,1575353,361940,2.4,0.5,66470007,,,,,,,,,
4/24/2021,Ages_<18yrs,1506013,334365,2.3,0.5,66470007,,,,,,,,,
4/23/2021,Ages_<18yrs,1435463,305775,2.2,0.5,66470007,,,,,,,,,
4/22/2021,Ages_<18yrs,1369810,281066,2.1,0.4,66470007,,,,,,,,,
4/21/2021,Ages_<18yrs,1303894,260608,2,0.4,66470007,,,,,,,,,
4/20/2021,Ages_<18yrs,1247876,244031,1.9,0.4,66470007,,,,,,,,,
4/19/2021,Ages_<18yrs,1200273,232782,1.8,0.4,66470007,,,,,,,,,
4/18/2021,Ages_<18yrs,1138533,218762,1.7,0.3,66470007,,,,,,,,,
4/17/2021,Ages_<18yrs,1056446,202224,1.6,0.3,66470007,,,,,,,,,
4/16/2021,Ages_<18yrs,988781,186680,1.5,0.3,66470007,,,,,,,,,
4/15/2021,Ages_<18yrs,924698,171391,1.4,0.3,66470007,,,,,,,,,
4/14/2021,Ages_<18yrs,862833,158876,1.3,0.2,66470007,,,,,,,,,
4/13/2021,Ages_<18yrs,818360,150425,1.2,0.2,66470007,,,,,,,,,
4/12/2021,Ages_<18yrs,771377,142994,1.2,0.2,66470007,,,,,,,,,
4/11/2021,Ages_<18yrs,721145,135286,1.1,0.2,66470007,,,,,,,,,
4/10/2021,Ages_<18yrs,667746,125795,1,0.2,66470007,,,,,,,,,
4/9/2021,Ages_<18yrs,608748,115718,0.9,0.2,66470007,,,,,,,,,
4/8/2021,Ages_<18yrs,555613,107300,0.8,0.2,66470007,,,,,,,,,
4/7/2021,Ages_<18yrs,512864,100079,0.8,0.2,66470007,,,,,,,,,
4/6/2021,Ages_<18yrs,476940,94551,0.7,0.1,66470007,,,,,,,,,
4/5/2021,Ages_<18yrs,402438,83320,0.6,0.1,66470007,,,,,,,,,
4/4/2021,Ages_<18yrs,402329,83280,0.6,0.1,66470007,,,,,,,,,
4/3/2021,Ages_<18yrs,401891,82886,0.6,0.1,66470007,,,,,,,,,
4/2/2021,Ages_<18yrs,366396,77589,0.6,0.1,66470007,,,,,,,,,
4/1/2021,Ages_<18yrs,336287,72778,0.5,0.1,66470007,,,,,,,,,
3/31/2021,Ages_<18yrs,311675,69341,0.5,0.1,66470007,,,,,,,,,
3/30/2021,Ages_<18yrs,291629,66340,0.4,0.1,66470007,,,,,,,,,
3/29/2021,Ages_<18yrs,277968,63595,0.4,0.1,66470007,,,,,,,,,
3/28/2021,Ages_<18yrs,260140,60506,0.4,0.1,66470007,,,,,,,,,
3/27/2021,Ages_<18yrs,241995,57595,0.4,0.1,66470007,,,,,,,,,
3/26/2021,Ages_<18yrs,223625,54561,0.3,0.1,66470007,,,,,,,,,
3/25/2021,Ages_<18yrs,206015,52200,0.3,0.1,66470007,,,,,,,,,
3/24/2021,Ages_<18yrs,193296,50175,0.3,0.1,66470007,,,,,,,,,
3/23/2021,Ages_<18yrs,180949,48149,0.3,0.1,66470007,,,,,,,,,
3/22/2021,Ages_<18yrs,172941,46731,0.3,0.1,66470007,,,,,,,,,
3/21/2021,Ages_<18yrs,163685,44817,0.2,0.1,66470007,,,,,,,,,
3/20/2021,Ages_<18yrs,151495,42622,0.2,0.1,66470007,,,,,,,,,
3/19/2021,Ages_<18yrs,140627,41215,0.2,0.1,66470007,,,,,,,,,
3/18/2021,Ages_<18yrs,131882,40024,0.2,0.1,66470007,,,,,,,,,
3/17/2021,Ages_<18yrs,123009,38545,0.2,0.1,66470007,,,,,,,,,
3/16/2021,Ages_<18yrs,116948,37542,0.2,0.1,66470007,,,,,,,,,
3/15/2021,Ages_<18yrs,111472,36325,0.2,0.1,66470007,,,,,,,,,
3/14/2021,Ages_<18yrs,105808,35192,0.2,0.1,66470007,,,,,,,,,
3/13/2021,Ages_<18yrs,99707,34073,0.2,0.1,66470007,,,,,,,,,
3/12/2021,Ages_<18yrs,93001,32654,0.1,0,66470007,,,,,,,,,
3/11/2021,Ages_<18yrs,87517,31166,0.1,0,66470007,,,,,,,,,
3/10/2021,Ages_<18yrs,83486,30387,0.1,0,66470007,,,,,,,,,
3/9/2021,Ages_<18yrs,79872,29572,0.1,0,66470007,,,,,,,,,
3/8/2021,Ages_<18yrs,76600,28858,0.1,0,66470007,,,,,,,,,
3/7/2021,Ages_<18yrs,73349,28115,0.1,0,66470007,,,,,,,,,
3/6/2021,Ages_<18yrs,69951,27231,0.1,0,66470007,,,,,,,,,
3/5/2021,Ages_<18yrs,65867,26047,0.1,0,66470007,,,,,,,,,
3/4/2021,Ages_<18yrs,62923,25122,0.1,0,66470007,,,,,,,,,
3/3/2021,Ages_<18yrs,60853,24303,0.1,0,66470007,,,,,,,,,
3/2/2021,Ages_<18yrs,58977,23605,0.1,0,66470007,,,,,,,,,
3/1/2021,Ages_<18yrs,56608,22614,0.1,0,66470007,,,,,,,,,
2/28/2021,Ages_<18yrs,54405,21795,0.1,0,66470007,,,,,,,,,
2/27/2021,Ages_<18yrs,52139,20748,0.1,0,66470007,,,,,,,,,
2/26/2021,Ages_<18yrs,50469,19873,0.1,0,66470007,,,,,,,,,
2/25/2021,Ages_<18yrs,48263,18907,0.1,0,66470007,,,,,,,,,
2/24/2021,Ages_<18yrs,46745,18004,0.1,0,66470007,,,,,,,,,
2/23/2021,Ages_<18yrs,45656,17500,0.1,0,66470007,,,,,,,,,
2/22/2021,Ages_<18yrs,44453,16972,0.1,0,66470007,,,,,,,,,
2/21/2021,Ages_<18yrs,43234,16102,0.1,0,66470007,,,,,,,,,
2/20/2021,Ages_<18yrs,42084,15010,0.1,0,66470007,,,,,,,,,
2/19/2021,Ages_<18yrs,40993,14137,0.1,0,66470007,,,,,,,,,
2/18/2021,Ages_<18yrs,39643,13369,0.1,0,66470007,,,,,,,,,
2/17/2021,Ages_<18yrs,38779,12780,0.1,0,66470007,,,,,,,,,
2/16/2021,Ages_<18yrs,38033,12417,0.1,0,66470007,,,,,,,,,
2/15/2021,Ages_<18yrs,37279,12014,0.1,0,66470007,,,,,,,,,
2/14/2021,Ages_<18yrs,36423,11467,0.1,0,66470007,,,,,,,,,
2/13/2021,Ages_<18yrs,35112,10574,0.1,0,66470007,,,,,,,,,
2/12/2021,Ages_<18yrs,33834,9654,0.1,0,66470007,,,,,,,,,
2/11/2021,Ages_<18yrs,32765,8913,0,0,66470007,,,,,,,,,
2/10/2021,Ages_<18yrs,31808,8320,0,0,66470007,,,,,,,,,
2/9/2021,Ages_<18yrs,30808,7671,0,0,66470007,,,,,,,,,
2/8/2021,Ages_<18yrs,29556,7292,0,0,66470007,,,,,,,,,
2/7/2021,Ages_<18yrs,28621,6929,0,0,66470007,,,,,,,,,
2/6/2021,Ages_<18yrs,27472,6357,0,0,66470007,,,,,,,,,
2/5/2021,Ages_<18yrs,26153,5703,0,0,66470007,,,,,,,,,
2/4/2021,Ages_<18yrs,25354,5260,0,0,66470007,,,,,,,,,
2/3/2021,Ages_<18yrs,24490,4807,0,0,66470007,,,,,,,,,
2/2/2021,Ages_<18yrs,23885,4526,0,0,66470007,,,,,,,,,
2/1/2021,Ages_<18yrs,23308,4341,0,0,66470007,,,,,,,,,
1/31/2021,Ages_<18yrs,22314,3972,0,0,66470007,,,,,,,,,
1/30/2021,Ages_<18yrs,21118,3562,0,0,66470007,,,,,,,,,
1/29/2021,Ages_<18yrs,20145,3215,0,0,66470007,,,,,,,,,
1/28/2021,Ages_<18yrs,19028,2830,0,0,66470007,,,,,,,,,
1/27/2021,Ages_<18yrs,18159,2452,0,0,66470007,,,,,,,,,
1/26/2021,Ages_<18yrs,17380,2273,0,0,66470007,,,,,,,,,
1/25/2021,Ages_<18yrs,16672,2144,0,0,66470007,,,,,,,,,
1/24/2021,Ages_<18yrs,15768,2024,0,0,66470007,,,,,,,,,
1/23/2021,Ages_<18yrs,14412,1818,0,0,66470007,,,,,,,,,
1/22/2021,Ages_<18yrs,13341,1597,0,0,66470007,,,,,,,,,
1/21/2021,Ages_<18yrs,12271,1306,0,0,66470007,,,,,,,,,
1/20/2021,Ages_<18yrs,11563,1147,0,0,66470007,,,,,,,,,
1/19/2021,Ages_<18yrs,11025,1031,0,0,66470007,,,,,,,,,
1/18/2021,Ages_<18yrs,10569,979,0,0,66470007,,,,,,,,,
1/17/2021,Ages_<18yrs,9673,907,0,0,66470007,,,,,,,,,
1/16/2021,Ages_<18yrs,8874,840,0,0,66470007,,,,,,,,,
1/15/2021,Ages_<18yrs,8156,736,0,0,66470007,,,,,,,,,
1/14/2021,Ages_<18yrs,7328,592,0,0,66470007,,,,,,,,,
1/13/2021,Ages_<18yrs,6756,469,0,0,66470007,,,,,,,,,
1/12/2021,Ages_<18yrs,6197,354,0,0,66470007,,,,,,,,,
1/11/2021,Ages_<18yrs,5797,315,0,0,66470007,,,,,,,,,
1/10/2021,Ages_<18yrs,5383,246,0,0,66470007,,,,,,,,,
1/9/2021,Ages_<18yrs,4813,174,0,0,66470007,,,,,,,,,
1/8/2021,Ages_<18yrs,4403,96,0,0,66470007,,,,,,,,,
1/7/2021,Ages_<18yrs,3929,61,0,0,66470007,,,,,,,,,
1/6/2021,Ages_<18yrs,3200,30,0,0,66470007,,,,,,,,,
1/5/2021,Ages_<18yrs,2819,18,0,0,66470007,,,,,,,,,
1/4/2021,Ages_<18yrs,2660,16,0,0,66470007,,,,,,,,,
1/3/2021,Ages_<18yrs,2506,16,0,0,66470007,,,,,,,,,
1/2/2021,Ages_<18yrs,2343,15,0,0,66470007,,,,,,,,,
1/1/2021,Ages_<18yrs,2057,15,0,0,66470007,,,,,,,,,
12/31/2020,Ages_<18yrs,1703,13,0,0,66470007,,,,,,,,,
12/30/2020,Ages_<18yrs,1421,12,0,0,66470007,,,,,,,,,
12/29/2020,Ages_<18yrs,1202,9,0,0,66470007,,,,,,,,,
12/28/2020,Ages_<18yrs,1094,9,0,0,66470007,,,,,,,,,
12/27/2020,Ages_<18yrs,1014,9,0,0,66470007,,,,,,,,,
12/26/2020,Ages_<18yrs,940,9,0,0,66470007,,,,,,,,,
12/25/2020,Ages_<18yrs,828,8,0,0,66470007,,,,,,,,,
12/24/2020,Ages_<18yrs,605,6,0,0,66470007,,,,,,,,,
12/23/2020,Ages_<18yrs,432,5,0,0,66470007,,,,,,,,,
12/22/2020,Ages_<18yrs,298,2,0,0,66470007,,,,,,,,,
12/21/2020,Ages_<18yrs,235,2,0,0,66470007,,,,,,,,,
12/20/2020,Ages_<18yrs,169,2,0,0,66470007,,,,,,,,,
12/19/2020,Ages_<18yrs,69,2,0,0,66470007,,,,,,,,,
12/18/2020,Ages_<18yrs,23,2,0,0,66470007,,,,,,,,,
12/17/2020,Ages_<18yrs,2,1,0,0,66470007,,,,,,,,,
4/26/2021,Age_unknown,19082,2801,0,0,0,,,,,,,,,
4/25/2021,Age_unknown,19032,2775,0,0,0,,,,,,,,,
4/24/2021,Age_unknown,18826,2743,0,0,0,,,,,,,,,
4/23/2021,Age_unknown,18683,2726,0,0,0,,,,,,,,,
4/22/2021,Age_unknown,18543,2684,0,0,0,,,,,,,,,
4/21/2021,Age_unknown,18341,2656,0,0,0,,,,,,,,,
4/20/2021,Age_unknown,17848,2632,0,0,0,,,,,,,,,
4/19/2021,Age_unknown,17798,2609,0,0,0,,,,,,,,,
4/18/2021,Age_unknown,17759,2588,0,0,0,,,,,,,,,
4/17/2021,Age_unknown,17574,2554,0,0,0,,,,,,,,,
4/16/2021,Age_unknown,17423,2504,0,0,0,,,,,,,,,
4/15/2021,Age_unknown,17259,2459,0,0,0,,,,,,,,,
4/14/2021,Age_unknown,17055,2398,0,0,0,,,,,,,,,
4/13/2021,Age_unknown,16932,2365,0,0,0,,,,,,,,,
4/12/2021,Age_unknown,16839,2336,0,0,0,,,,,,,,,
4/11/2021,Age_unknown,16752,2306,0,0,0,,,,,,,,,
4/10/2021,Age_unknown,16555,2250,0,0,0,,,,,,,,,
4/9/2021,Age_unknown,16364,2176,0,0,0,,,,,,,,,
4/8/2021,Age_unknown,16198,2126,0,0,0,,,,,,,,,
4/7/2021,Age_unknown,16196,2112,0,0,0,,,,,,,,,
4/6/2021,Age_unknown,158966,4715,0,0,0,,,,,,,,,
4/5/2021,Age_unknown,3230560,2337238,0,0,0,,,,,,,,,
4/4/2021,Age_unknown,2091170,1490447,0,0,0,,,,,,,,,
4/3/2021,Age_unknown,138835,4177,0,0,0,,,,,,,,,
4/2/2021,Age_unknown,105265,3511,0,0,0,,,,,,,,,
4/1/2021,Age_unknown,98830,3350,0,0,0,,,,,,,,,
3/31/2021,Age_unknown,15175,1787,0,0,0,,,,,,,,,
3/30/2021,Age_unknown,15001,1702,0,0,0,,,,,,,,,
3/29/2021,Age_unknown,14941,1689,0,0,0,,,,,,,,,
3/28/2021,Age_unknown,14836,1673,0,0,0,,,,,,,,,
3/27/2021,Age_unknown,14663,1631,0,0,0,,,,,,,,,
3/26/2021,Age_unknown,14549,1610,0,0,0,,,,,,,,,
3/25/2021,Age_unknown,14393,1578,0,0,0,,,,,,,,,
3/24/2021,Age_unknown,14265,1555,0,0,0,,,,,,,,,
3/23/2021,Age_unknown,14139,1517,0,0,0,,,,,,,,,
3/22/2021,Age_unknown,13943,1491,0,0,0,,,,,,,,,
3/21/2021,Age_unknown,13857,1465,0,0,0,,,,,,,,,
3/20/2021,Age_unknown,13731,1447,0,0,0,,,,,,,,,
3/19/2021,Age_unknown,13607,1423,0,0,0,,,,,,,,,
3/18/2021,Age_unknown,13445,1395,0,0,0,,,,,,,,,
3/17/2021,Age_unknown,13299,1369,0,0,0,,,,,,,,,
3/16/2021,Age_unknown,13183,1333,0,0,0,,,,,,,,,
3/15/2021,Age_unknown,13066,1317,0,0,0,,,,,,,,,
3/14/2021,Age_unknown,12973,1310,0,0,0,,,,,,,,,
3/13/2021,Age_unknown,12845,1285,0,0,0,,,,,,,,,
3/12/2021,Age_unknown,12456,1214,0,0,0,,,,,,,,,
3/11/2021,Age_unknown,12286,1187,0,0,0,,,,,,,,,
3/10/2021,Age_unknown,11934,1162,0,0,0,,,,,,,,,
3/9/2021,Age_unknown,11306,1142,0,0,0,,,,,,,,,
3/8/2021,Age_unknown,11201,1112,0,0,0,,,,,,,,,
3/7/2021,Age_unknown,11119,1100,0,0,0,,,,,,,,,
3/6/2021,Age_unknown,10996,1083,0,0,0,,,,,,,,,
3/5/2021,Age_unknown,10880,1063,0,0,0,,,,,,,,,
3/4/2021,Age_unknown,10751,1054,0,0,0,,,,,,,,,
3/3/2021,Age_unknown,10500,975,0,0,0,,,,,,,,,
3/2/2021,Age_unknown,10422,962,0,0,0,,,,,,,,,
3/1/2021,Age_unknown,10368,956,0,0,0,,,,,,,,,
2/28/2021,Age_unknown,10316,938,0,0,0,,,,,,,,,
2/27/2021,Age_unknown,10138,918,0,0,0,,,,,,,,,
2/26/2021,Age_unknown,9975,891,0,0,0,,,,,,,,,
2/25/2021,Age_unknown,9903,876,0,0,0,,,,,,,,,
2/24/2021,Age_unknown,9829,860,0,0,0,,,,,,,,,
2/23/2021,Age_unknown,9764,852,0,0,0,,,,,,,,,
2/22/2021,Age_unknown,9745,850,0,0,0,,,,,,,,,
2/21/2021,Age_unknown,9711,840,0,0,0,,,,,,,,,
2/20/2021,Age_unknown,9647,821,0,0,0,,,,,,,,,
2/19/2021,Age_unknown,9598,797,0,0,0,,,,,,,,,
2/18/2021,Age_unknown,9516,768,0,0,0,,,,,,,,,
2/17/2021,Age_unknown,9458,754,0,0,0,,,,,,,,,
2/16/2021,Age_unknown,9410,750,0,0,0,,,,,,,,,
2/15/2021,Age_unknown,9365,749,0,0,0,,,,,,,,,
2/14/2021,Age_unknown,9320,746,0,0,0,,,,,,,,,
2/13/2021,Age_unknown,9245,736,0,0,0,,,,,,,,,
2/12/2021,Age_unknown,8973,640,0,0,0,,,,,,,,,
2/11/2021,Age_unknown,8645,452,0,0,0,,,,,,,,,
2/10/2021,Age_unknown,8326,326,0,0,0,,,,,,,,,
2/9/2021,Age_unknown,7951,223,0,0,0,,,,,,,,,
2/8/2021,Age_unknown,7855,217,0,0,0,,,,,,,,,
2/7/2021,Age_unknown,7816,212,0,0,0,,,,,,,,,
2/6/2021,Age_unknown,7628,199,0,0,0,,,,,,,,,
2/5/2021,Age_unknown,7310,192,0,0,0,,,,,,,,,
2/4/2021,Age_unknown,6910,180,0,0,0,,,,,,,,,
2/3/2021,Age_unknown,6598,168,0,0,0,,,,,,,,,
2/2/2021,Age_unknown,6268,161,0,0,0,,,,,,,,,
2/1/2021,Age_unknown,6222,160,0,0,0,,,,,,,,,
1/31/2021,Age_unknown,6143,154,0,0,0,,,,,,,,,
1/30/2021,Age_unknown,6039,145,0,0,0,,,,,,,,,
1/29/2021,Age_unknown,3943,87,0,0,0,,,,,,,,,
1/28/2021,Age_unknown,3441,75,0,0,0,,,,,,,,,
1/27/2021,Age_unknown,3261,63,0,0,0,,,,,,,,,
1/26/2021,Age_unknown,3112,61,0,0,0,,,,,,,,,
1/25/2021,Age_unknown,3080,56,0,0,0,,,,,,,,,
